"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"-_-Jambo-_-","3","0","7","2.3"
"ZekeTheFreak","4","0","10","2.5"
"DANG","2","0","6","3.0"
"Reveration","2","0","6","3.0"
"Blue","7","0","16","2.3"
"Lt._poggers","1","0","3","3.0"
"littlesonshine","2","0","5","2.5"
"kllacam19k","1","0","3","3.0"
"Kismet_27","6","0","12","2.0"
"joker_face","5","0","12","2.4"
"spacerock12","6","0","15","2.5"
"Meximanian","6","0","17","2.8"
"Pixal","3","0","7","2.3"
"morfovvt","3","0","7","2.3"
"John","4","0","11","2.8"
"Ivan_the_great","5","0","7","1.4"
"SkyNet","3","0","8","2.7"
"Right_Pix","3","0","9","3.0"
"STAR","1","0","1","1.0"
"ml","2","0","5","2.5"
"Ice_Witch","3","0","5","1.7"
"Pixalite","2","0","4","2.0"
"Pork_Adobo","1","0","3","3.0"
"Lindberghh_V","3","0","7","2.3"
"baconvan","3","0","9","3.0"
"Lindberghh_II","2","0","6","3.0"
"PENCIL","3","0","9","3.0"
"Harvey","3","0","7","2.3"
"Sapphire","1","0","3","3.0"
"Insigniatis","1","0","1","1.0"
"
"
"Clan Overview"
"Total attacks","91"
"Total unused attacks","0"
"Total stars","221"
"
"
"TH7","4","0","0","0","4"
"TH8","7","0","0","0","7"
"TH9","19","3","4","0","26"
"TH10","18","5","4","0","27"
"TH11","9","3","1","0","13"
"TH12","3","1","0","0","4"
"TH13","0","1","6","3","10"
"3 stars","2 stars","1 star","0 star"
