tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#Q9V8UJPCP,:(خالد,15,8,11133413,1,#Q9V8UJPCP,#LLURGGVP0,3,3,100,#LLURGGVP0,MiniPix,15,5,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#Q9V8UJPCP,:(خالد,15,8,11133413,2,#Q9V8UJPCP,#QY08U9Y8L,3,3,100,#QY08U9Y8L,baconvan,14,8,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#LUP20JQVQ,امير الرعب,14,9,11133413,3,#LUP20JQVQ,#P82C2VYL,1,1,50,#P82C2VYL,Ivan the great,11,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#RCV08YPR,littlesonshine,1,12,11133413,4,#RCV08YPR,#P0LJ9Q8YV,3,3,100,#P0LJ9Q8YV,مى هايبر,2,12,1,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#9VV0QLYU,Reveration,13,9,11133413,5,#9VV0QLYU,#LQQP00VYC,3,3,100,#LQQP00VYC,عبد ا لله ١,13,9,1,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#L9088L82J,عبودي,12,9,11133413,6,#L9088L82J,#9VV0QLYU,3,3,100,#9VV0QLYU,Reveration,13,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#LPLCVQCU0,القيصر حمزه,8,10,11133413,7,#LPLCVQCU0,#P82C2VYL,3,2,100,#P82C2VYL,Ivan the great,11,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#L9088L82J,عبودي,12,9,11133413,8,#L9088L82J,#QPYRLQVC9,1,1,84,#QPYRLQVC9,joker face,12,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#LQQP00VYC,عبد ا لله ١,13,9,11133413,9,#LQQP00VYC,#QPYRLQVC9,3,2,100,#QPYRLQVC9,joker face,12,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#LQQP00VYC,عبد ا لله ١,13,9,11133413,10,#LQQP00VYC,#YRPC0UYRL,1,1,68,#YRPC0UYRL,Meximanian,10,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#JCRPPRJQ,✌️FERAS✌️,6,10,11133413,11,#JCRPPRJQ,#9C02URYL,2,2,82,#9C02URYL,spacerock12,8,10,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#8VGQLU0VY,الصياد,4,11,11133413,12,#8VGQLU0VY,#LUCC0GYPY,2,2,82,#LUCC0GYPY,Lindberghh II,6,10,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#9VV0QLYU,Reveration,13,9,11133413,13,#9VV0QLYU,#LUP20JQVQ,3,3,100,#LUP20JQVQ,امير الرعب,14,9,1,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#2QGLGU0LY,kllacam19k,7,10,11133413,14,#2QGLGU0LY,#JCRPPRJQ,2,2,77,#JCRPPRJQ,✌️FERAS✌️,6,10,1,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#P2C9CCUGL,دموع الورد,10,9,11133413,15,#P2C9CCUGL,#YRPC0UYRL,1,0,78,#YRPC0UYRL,Meximanian,10,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#P0LJ9Q8YV,مى هايبر,2,12,11133413,16,#P0LJ9Q8YV,#990LG8Q9R,2,2,98,#990LG8Q9R,Pixal,3,11,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
#P2C9CCUGL,دموع الورد,10,9,11133413,17,#P2C9CCUGL,#Q0L0VY0PQ,2,2,73,#Q0L0VY0PQ,Kismet_27,9,9,0,#VUCVG2J0,Sheer Force,15,#JUQV9QV9,أبطال القوه,12,2021-08-27 18:56:51,15,normal
