"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"littlesonshine","3","0","6","2.0"
"Reveration","1","0","3","3.0"
"kllacam19k","1","0","3","3.0"
"Blue","6","0","13","2.2"
"DANG","1","0","3","3.0"
"Kismet_27","7","0","14","2.0"
"joker_face","5","0","12","2.4"
"spacerock12","7","0","18","2.6"
"Meximanian","7","0","18","2.6"
"Pixal","4","0","7","1.8"
"morfovvt","4","0","10","2.5"
"ZekeTheFreak","3","0","7","2.3"
"John","5","0","14","2.8"
"-_-Jambo-_-","2","0","6","3.0"
"Ivan_the_great","6","0","10","1.7"
"SkyNet","3","0","8","2.7"
"Right_Pix","3","0","9","3.0"
"STAR","1","0","1","1.0"
"ml","2","0","5","2.5"
"Ice_Witch","4","0","8","2.0"
"Pixalite","2","0","4","2.0"
"Pork_Adobo","1","0","3","3.0"
"Lindberghh_V","4","0","8","2.0"
"baconvan","4","0","9","2.2"
"Lindberghh_II","3","0","6","2.0"
"PENCIL","4","0","12","3.0"
"Harvey","4","0","10","2.5"
"Sapphire","2","0","6","3.0"
"Insigniatis","1","0","1","1.0"
"Beyond","1","0","3","3.0"
"Elusive","1","0","3","3.0"
"
"
"Clan Overview"
"Total attacks","102"
"Total unused attacks","0"
"Total stars","240"
"
"
"TH7","4","0","0","0","4"
"TH8","7","0","0","0","7"
"TH9","24","3","6","1","34"
"TH10","19","6","4","0","29"
"TH11","9","3","0","0","12"
"TH12","2","1","0","0","3"
"TH13","0","1","7","5","13"
"3 stars","2 stars","1 star","0 star"
